Day,FMV,Count
Friday,FELONY,10107
Friday,MISDEMEANOR,16199
Friday,VIOLATION,3948
Monday,FELONY,8749
Monday,MISDEMEANOR,14119
Monday,VIOLATION,3803
Saturday,FELONY,9345
Saturday,MISDEMEANOR,16023
Saturday,VIOLATION,3589
Sunday,FELONY,8464
Sunday,MISDEMEANOR,14555
Sunday,VIOLATION,3593
Thursday,FELONY,9543
Thursday,MISDEMEANOR,15738
Thursday,VIOLATION,3987
Tuesday,FELONY,9251
Tuesday,MISDEMEANOR,15175
Tuesday,VIOLATION,3795
Wednesday,FELONY,9670
Wednesday,MISDEMEANOR,16214
Wednesday,VIOLATION,4022
