Major Crime Rates,Borough,Count
FORGERY,BRONX,463
FORGERY,BROOKLYN,672
FORGERY,MANHATTAN,522
FORGERY,QUEENS,412
FORGERY,STATEN ISLAND,32
MURDER & NON-NEGL. MANSLAUGHTER,BRONX,36
MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,69
MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,17
MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,18
MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,5
RAPE,BRONX,155
RAPE,BROOKLYN,168
RAPE,MANHATTAN,142
RAPE,QUEENS,129
RAPE,STATEN ISLAND,21
ROBBERY,BRONX,2044
ROBBERY,BROOKLYN,2530
ROBBERY,MANHATTAN,1445
ROBBERY,QUEENS,1412
ROBBERY,STATEN ISLAND,179
