Borough Name,NTA Code,NBD Name,Year,Unemployment Rate,Poverty Rate,Population,Median Income,Crime Rate
NULL,BK73,NULL,2006,NULL,NULL,NULL,NULL,2734	
NULL,BK73,NULL,2007,NULL,NULL,NULL,NULL,2571	
NULL,BK73,NULL,2008,NULL,NULL,NULL,NULL,3092	
NULL,BK73,NULL,2009,NULL,NULL,NULL,NULL,2625	
NULL,BK73,NULL,2010,NULL,NULL,NULL,NULL,2843	
NULL,BK73,NULL,2011,NULL,NULL,NULL,NULL,2954	
NULL,BK73,NULL,2012,NULL,NULL,NULL,NULL,3195	
NULL,BK73,NULL,2013,NULL,NULL,NULL,NULL,3241	
NULL,BK73,NULL,2014,NULL,NULL,NULL,NULL,3291	
NULL,BK73,NULL,2015,NULL,NULL,NULL,NULL,3196	
NULL,BK99,NULL,2006,NULL,NULL,NULL,NULL,868	
NULL,BK99,NULL,2007,NULL,NULL,NULL,NULL,929	
NULL,BK99,NULL,2008,NULL,NULL,NULL,NULL,1008	
NULL,BK99,NULL,2009,NULL,NULL,NULL,NULL,1028	
NULL,BK99,NULL,2010,NULL,NULL,NULL,NULL,977	
NULL,BK99,NULL,2011,NULL,NULL,NULL,NULL,1009	
NULL,BK99,NULL,2012,NULL,NULL,NULL,NULL,955	
NULL,BK99,NULL,2013,NULL,NULL,NULL,NULL,825	
NULL,BK99,NULL,2014,NULL,NULL,NULL,NULL,876	
NULL,BK99,NULL,2015,NULL,NULL,NULL,NULL,765	
NULL,BX01,NULL,2006,NULL,NULL,NULL,NULL,3011	
NULL,BX01,NULL,2007,NULL,NULL,NULL,NULL,3270	
NULL,BX01,NULL,2008,NULL,NULL,NULL,NULL,3033	
NULL,BX01,NULL,2009,NULL,NULL,NULL,NULL,3249	
NULL,BX01,NULL,2010,NULL,NULL,NULL,NULL,3072	
NULL,BX01,NULL,2011,NULL,NULL,NULL,NULL,2808	
NULL,BX01,NULL,2012,NULL,NULL,NULL,NULL,2925	
NULL,BX01,NULL,2013,NULL,NULL,NULL,NULL,3084	
NULL,BX01,NULL,2014,NULL,NULL,NULL,NULL,3097	
NULL,BX01,NULL,2015,NULL,NULL,NULL,NULL,3134	
NULL,BX46,NULL,2006,NULL,NULL,NULL,NULL,1636	
NULL,BX46,NULL,2007,NULL,NULL,NULL,NULL,1738	
NULL,BX46,NULL,2008,NULL,NULL,NULL,NULL,1730	
NULL,BX46,NULL,2009,NULL,NULL,NULL,NULL,1612	
NULL,BX46,NULL,2010,NULL,NULL,NULL,NULL,1478	
NULL,BX46,NULL,2011,NULL,NULL,NULL,NULL,1608	
NULL,BX46,NULL,2012,NULL,NULL,NULL,NULL,1385	
NULL,BX46,NULL,2013,NULL,NULL,NULL,NULL,1360	
NULL,BX46,NULL,2014,NULL,NULL,NULL,NULL,1334	
NULL,BX46,NULL,2015,NULL,NULL,NULL,NULL,1313	
NULL,BX55,NULL,2006,NULL,NULL,NULL,NULL,3381	
NULL,BX55,NULL,2007,NULL,NULL,NULL,NULL,3678	
NULL,BX55,NULL,2008,NULL,NULL,NULL,NULL,3373	
NULL,BX55,NULL,2009,NULL,NULL,NULL,NULL,3347	
NULL,BX55,NULL,2010,NULL,NULL,NULL,NULL,3433	
NULL,BX55,NULL,2011,NULL,NULL,NULL,NULL,3422	
NULL,BX55,NULL,2012,NULL,NULL,NULL,NULL,3242	
NULL,BX55,NULL,2013,NULL,NULL,NULL,NULL,3013	
NULL,BX55,NULL,2014,NULL,NULL,NULL,NULL,3002	
NULL,BX55,NULL,2015,NULL,NULL,NULL,NULL,2590	
NULL,BX59,NULL,2006,NULL,NULL,NULL,NULL,1910	
NULL,BX59,NULL,2007,NULL,NULL,NULL,NULL,1889	
NULL,BX59,NULL,2008,NULL,NULL,NULL,NULL,1923	
NULL,BX59,NULL,2009,NULL,NULL,NULL,NULL,1889	
NULL,BX59,NULL,2010,NULL,NULL,NULL,NULL,2024	
NULL,BX59,NULL,2011,NULL,NULL,NULL,NULL,1927	
NULL,BX59,NULL,2012,NULL,NULL,NULL,NULL,1738	
NULL,BX59,NULL,2013,NULL,NULL,NULL,NULL,1521	
NULL,BX59,NULL,2014,NULL,NULL,NULL,NULL,1607	
NULL,BX59,NULL,2015,NULL,NULL,NULL,NULL,1703	
NULL,BX98,NULL,2006,NULL,NULL,NULL,NULL,395	
NULL,BX98,NULL,2007,NULL,NULL,NULL,NULL,131	
NULL,BX98,NULL,2008,NULL,NULL,NULL,NULL,91	
NULL,BX98,NULL,2009,NULL,NULL,NULL,NULL,137	
NULL,BX98,NULL,2010,NULL,NULL,NULL,NULL,122	
NULL,BX98,NULL,2011,NULL,NULL,NULL,NULL,185	
NULL,BX98,NULL,2012,NULL,NULL,NULL,NULL,753	
NULL,BX98,NULL,2013,NULL,NULL,NULL,NULL,1249	
NULL,BX98,NULL,2014,NULL,NULL,NULL,NULL,1354	
NULL,BX98,NULL,2015,NULL,NULL,NULL,NULL,1198	
NULL,BX99,NULL,2006,NULL,NULL,NULL,NULL,1196	
NULL,BX99,NULL,2007,NULL,NULL,NULL,NULL,1330	
NULL,BX99,NULL,2008,NULL,NULL,NULL,NULL,1335	
NULL,BX99,NULL,2009,NULL,NULL,NULL,NULL,1389	
NULL,BX99,NULL,2010,NULL,NULL,NULL,NULL,1408	
NULL,BX99,NULL,2011,NULL,NULL,NULL,NULL,1307	
NULL,BX99,NULL,2012,NULL,NULL,NULL,NULL,1292	
NULL,BX99,NULL,2013,NULL,NULL,NULL,NULL,1338	
NULL,BX99,NULL,2014,NULL,NULL,NULL,NULL,1271	
NULL,BX99,NULL,2015,NULL,NULL,NULL,NULL,1249	
NULL,MN31,NULL,2006,NULL,NULL,NULL,NULL,2347	
NULL,MN31,NULL,2007,NULL,NULL,NULL,NULL,2244	
NULL,MN31,NULL,2008,NULL,NULL,NULL,NULL,2111	
NULL,MN31,NULL,2009,NULL,NULL,NULL,NULL,1596	
NULL,MN31,NULL,2010,NULL,NULL,NULL,NULL,1654	
NULL,MN31,NULL,2011,NULL,NULL,NULL,NULL,1730	
NULL,MN31,NULL,2012,NULL,NULL,NULL,NULL,1890	
NULL,MN31,NULL,2013,NULL,NULL,NULL,NULL,1870	
NULL,MN31,NULL,2014,NULL,NULL,NULL,NULL,1762	
NULL,MN31,NULL,2015,NULL,NULL,NULL,NULL,1623	
NULL,MN99,NULL,2006,NULL,NULL,NULL,NULL,1204	
NULL,MN99,NULL,2007,NULL,NULL,NULL,NULL,1328	
NULL,MN99,NULL,2008,NULL,NULL,NULL,NULL,1324	
NULL,MN99,NULL,2009,NULL,NULL,NULL,NULL,1392	
NULL,MN99,NULL,2010,NULL,NULL,NULL,NULL,1393	
NULL,MN99,NULL,2011,NULL,NULL,NULL,NULL,1142	
NULL,MN99,NULL,2012,NULL,NULL,NULL,NULL,1220	
NULL,MN99,NULL,2013,NULL,NULL,NULL,NULL,1155	
NULL,MN99,NULL,2014,NULL,NULL,NULL,NULL,1185	
NULL,MN99,NULL,2015,NULL,NULL,NULL,NULL,1272	
NULL,NA,NULL,2006,NULL,NULL,NULL,NULL,24444	
NULL,NA,NULL,2007,NULL,NULL,NULL,NULL,22216	
NULL,NA,NULL,2008,NULL,NULL,NULL,NULL,17660	
NULL,NA,NULL,2009,NULL,NULL,NULL,NULL,17966	
NULL,NA,NULL,2010,NULL,NULL,NULL,NULL,18584	
NULL,NA,NULL,2011,NULL,NULL,NULL,NULL,18587	
NULL,NA,NULL,2012,NULL,NULL,NULL,NULL,19338	
NULL,NA,NULL,2013,NULL,NULL,NULL,NULL,18580	
NULL,NA,NULL,2014,NULL,NULL,NULL,NULL,19175	
NULL,NA,NULL,2015,NULL,NULL,NULL,NULL,8880	
NULL,QN44,NULL,2006,NULL,NULL,NULL,NULL,665	
NULL,QN44,NULL,2007,NULL,NULL,NULL,NULL,624	
NULL,QN44,NULL,2008,NULL,NULL,NULL,NULL,500	
NULL,QN44,NULL,2009,NULL,NULL,NULL,NULL,465	
NULL,QN44,NULL,2010,NULL,NULL,NULL,NULL,404	
NULL,QN44,NULL,2011,NULL,NULL,NULL,NULL,446	
NULL,QN44,NULL,2012,NULL,NULL,NULL,NULL,406	
NULL,QN44,NULL,2013,NULL,NULL,NULL,NULL,461	
NULL,QN44,NULL,2014,NULL,NULL,NULL,NULL,451	
NULL,QN44,NULL,2015,NULL,NULL,NULL,NULL,467	
NULL,QN50,NULL,2006,NULL,NULL,NULL,NULL,1052	
NULL,QN50,NULL,2007,NULL,NULL,NULL,NULL,1102	
NULL,QN50,NULL,2008,NULL,NULL,NULL,NULL,993	
NULL,QN50,NULL,2009,NULL,NULL,NULL,NULL,932	
NULL,QN50,NULL,2010,NULL,NULL,NULL,NULL,957	
NULL,QN50,NULL,2011,NULL,NULL,NULL,NULL,904	
NULL,QN50,NULL,2012,NULL,NULL,NULL,NULL,815	
NULL,QN50,NULL,2013,NULL,NULL,NULL,NULL,928	
NULL,QN50,NULL,2014,NULL,NULL,NULL,NULL,845	
NULL,QN50,NULL,2015,NULL,NULL,NULL,NULL,768	
NULL,QN98,NULL,2006,NULL,NULL,NULL,NULL,126	
NULL,QN98,NULL,2007,NULL,NULL,NULL,NULL,764	
NULL,QN98,NULL,2008,NULL,NULL,NULL,NULL,440	
NULL,QN98,NULL,2009,NULL,NULL,NULL,NULL,64	
NULL,QN98,NULL,2010,NULL,NULL,NULL,NULL,124	
NULL,QN98,NULL,2011,NULL,NULL,NULL,NULL,90	
NULL,QN98,NULL,2012,NULL,NULL,NULL,NULL,43	
NULL,QN98,NULL,2013,NULL,NULL,NULL,NULL,118	
NULL,QN98,NULL,2014,NULL,NULL,NULL,NULL,128	
NULL,QN98,NULL,2015,NULL,NULL,NULL,NULL,83	
NULL,QN99,NULL,2006,NULL,NULL,NULL,NULL,727	
NULL,QN99,NULL,2007,NULL,NULL,NULL,NULL,726	
NULL,QN99,NULL,2008,NULL,NULL,NULL,NULL,825	
NULL,QN99,NULL,2009,NULL,NULL,NULL,NULL,806	
NULL,QN99,NULL,2010,NULL,NULL,NULL,NULL,835	
NULL,QN99,NULL,2011,NULL,NULL,NULL,NULL,768	
NULL,QN99,NULL,2012,NULL,NULL,NULL,NULL,818	
NULL,QN99,NULL,2013,NULL,NULL,NULL,NULL,825	
NULL,QN99,NULL,2014,NULL,NULL,NULL,NULL,739	
NULL,QN99,NULL,2015,NULL,NULL,NULL,NULL,815	
NULL,SI14,NULL,2006,NULL,NULL,NULL,NULL,825	
NULL,SI14,NULL,2007,NULL,NULL,NULL,NULL,893	
NULL,SI14,NULL,2008,NULL,NULL,NULL,NULL,858	
NULL,SI14,NULL,2009,NULL,NULL,NULL,NULL,715	
NULL,SI14,NULL,2010,NULL,NULL,NULL,NULL,717	
NULL,SI14,NULL,2011,NULL,NULL,NULL,NULL,708	
NULL,SI14,NULL,2012,NULL,NULL,NULL,NULL,731	
NULL,SI14,NULL,2013,NULL,NULL,NULL,NULL,795	
NULL,SI14,NULL,2014,NULL,NULL,NULL,NULL,720	
NULL,SI14,NULL,2015,NULL,NULL,NULL,NULL,741	
NULL,SI99,NULL,2006,NULL,NULL,NULL,NULL,9	
NULL,SI99,NULL,2007,NULL,NULL,NULL,NULL,8	
NULL,SI99,NULL,2008,NULL,NULL,NULL,NULL,14	
NULL,SI99,NULL,2009,NULL,NULL,NULL,NULL,7	
NULL,SI99,NULL,2010,NULL,NULL,NULL,NULL,6	
NULL,SI99,NULL,2011,NULL,NULL,NULL,NULL,6	
NULL,SI99,NULL,2012,NULL,NULL,NULL,NULL,6	
NULL,SI99,NULL,2013,NULL,NULL,NULL,NULL,12	
NULL,SI99,NULL,2014,NULL,NULL,NULL,NULL,3	
NULL,SI99,NULL,2015,NULL,NULL,NULL,NULL,3	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2006,5.60%,17.10%,"$45,296","137,489",6655	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2007,4.90%,12.30%,"$46,234","145,146",6579	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2008,7.60%,11.90%,"$49,188","149,806",6601	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2009,9.00%,13.70%,"$48,284","133,282",6046	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2010,9.00%,15.00%,"$48,546","143,196",5410	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2011,10.80%,18.30%,"$48,138","153,182",5370	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2012,9.40%,16.60%,"$50,045","151,177",5674	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2013,7.20%,17.90%,"$52,783","137,815",5354	
Brooklyn,"['BK17', 'BK25', 'BK26']","SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH Gerritsen Beach, GRAVESEND",2014,4.90%,22.00%,"$27,983","103,687",5345	
NULL,"['BK17', 'BK25', 'BK26']",NULL,2015,NULL,NULL,NULL,NULL,5160	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2006,6.10%,23.80%,"$31,271","108,484",5436	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2007,8.30%,19.00%,"$32,377","104,974",5063	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2008,9.60%,20.00%,"$32,593","111,063",5308	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2009,14.40%,28.00%,"$29,945","103,112",4771	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2010,12.80%,26.20%,"$28,659","102,351",5179	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2011,11.80%,27.50%,"$30,458","100,695",4858	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2012,12.40%,26.50%,"$30,558","103,483",4789	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2013,9.00%,32.10%,"$29,615","110,727",4767	
Brooklyn,"['BK19', 'BK21', 'BK23']","SEAGATE-CONEY ISLAND, Brighton Beach",2014,4.90%,17.90%,"$38,714","174,593",4884	
NULL,"['BK19', 'BK21', 'BK23']",NULL,2015,NULL,NULL,NULL,NULL,5265	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2006,5.30%,14.50%,"$41,494","184,258",7113	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2007,7.50%,16.90%,"$38,518","183,083",6607	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2008,9.80%,14.40%,"$38,574","163,384",6391	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2009,8.60%,14.00%,"$39,332","164,506",5934	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2010,10.30%,18.10%,"$45,338","181,227",5362	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2011,11.20%,19.80%,"$50,860","189,420",5455	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2012,10.30%,18.00%,"$48,890","186,411",5492	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2013,8.80%,19.60%,"$47,808","187,637",5456	
Brooklyn,"['BK27', 'BK28', 'BK29']","Bensonhurst, Bath Beach ",2014,8.20%,13.70%,"$55,093","123,447",5777	
NULL,"['BK27', 'BK28', 'BK29']",NULL,2015,NULL,NULL,NULL,NULL,5648	
